"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast","Applicable","Note"
"Naïve Forecasting",0.0646,5.4038,60.0475,455.7597,1.55,0.2868,4.26,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Moving Average",-0.3156,3.8337,27.3831,261.1904,-7.5742,-1.9757,3.1683,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Weighted Moving Average",-0.0293,4.5765,37.9303,353.4351,-0.704,-0.1538,3.327,TRUE,"Weights favor recent observations: 0.5, 0.3, 0.2 ."
"Exponential Smoothing",-1.7097,4.0303,27.0495,366.5376,-41.0334,-10.1813,3.1493,TRUE,"Level smoothing alpha estimated by HoltWinters: 0.176"
"Trend-Adjusted Exponential Smoothing",-1.6692,4.0096,26.8581,363.6087,-40.0609,-9.9913,3.4501,TRUE,"Holt trend model fitted with alpha 0.481 and beta 0.044"
"Linear Trend Projection",-1.8128,4.0795,27.1644,376.5499,-43.507,-10.6647,3.988,TRUE,"Trend equation: value = -0.5604 + 0.0273 * t."
"Seasonal Indices",0.8643,3.2207,23.4624,204.033,20.743,6.4406,-0.6638,TRUE,"Additive monthly seasonal indices estimated from the training data."
"Additive Decomposition",-1.9982,4.0713,27.9789,372.5189,-47.9574,-11.7794,4.0251,TRUE,"Additive decomposition used because monthly rate changes can be negative."
"Regression with Trend and Seasonal Dummy Variables",-1.6921,3.8336,25.4955,360.3914,-40.6113,-10.5936,1.4406,TRUE,"Regression uses a linear time trend and monthly seasonal dummy variables."
"Multiplicative Decomposition",NA,NA,NA,NA,NA,NA,NA,FALSE,"Not applicable because the monthly rate-of-change series contains negative values; multiplicative decomposition requires strictly positive values."
