"Method","Period","Actual","Forecast","Forecast_Error","Applicable","Note"
"Naïve Forecasting","2024-05",-0.91,2.71,-3.62,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-06",1.95,-0.91,2.86,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-07",-1.74,1.95,-3.69,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-08",-1.56,-1.74,0.18,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-09",2,-1.56,3.56,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-10",5.03,2,3.03,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-11",8.88,5.03,3.85,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2024-12",-0.39,8.88,-9.27,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-01",2.74,-0.39,3.13,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-02",2.7,2.74,-0.04,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-03",6.91,2.7,4.21,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-04",-0.45,6.91,-7.36,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-05",0.23,-0.45,0.68,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-06",18.82,0.23,18.59,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-07",-5.66,18.82,-24.48,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-08",-3.45,-5.66,2.21,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-09",5.8,-3.45,9.25,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-10",4,5.8,-1.8,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-11",-1.56,4,-5.56,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2025-12",3.06,-1.56,4.62,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-01",8.46,3.06,5.4,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-02",0.21,8.46,-8.25,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-03",3.85,0.21,3.64,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Naïve Forecasting","2026-04",4.26,3.85,0.41,TRUE,"Uses the most recent observed value as the one-step-ahead forecast."
"Moving Average","2024-05",-0.91,4.0733,-4.9833,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-06",1.95,4.0975,-2.1475,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
"Moving Average","2024-07",-1.74,3.7317,-5.4717,TRUE,"Selected window: 12 months, based on lowest holdout MAD."
